aqi_stationId,nearest_meo_stationId
aotizhongxin_aq,hadian_meo
badaling_aq,yanqing_meo
beibuxinqu_aq,pingchang_meo
daxing_aq,daxing_meo
dingling_aq,pingchang_meo
donggaocun_aq,pinggu_meo
dongsi_aq,chaoyang_meo
dongsihuan_aq,chaoyang_meo
fangshan_aq,fangshan_meo
fengtaihuayuan_aq,fengtai_meo
guanyuan_aq,hadian_meo
gucheng_aq,shijingshan_meo
huairou_aq,huairou_meo
liulihe_aq,fangshan_meo
mentougou_aq,mentougou_meo
miyun_aq,miyun_meo
miyunshuiku_aq,miyun_meo
nansanhuan_aq,beijing_meo
nongzhanguan_aq,beijing_meo
pingchang_aq,pingchang_meo
pinggu_aq,pinggu_meo
qianmen_aq,chaoyang_meo
shunyi_aq,shunyi_meo
tiantan_aq,beijing_meo
tongzhou_aq,tongzhou_meo
wanliu_aq,hadian_meo
wanshouxigong_aq,fengtai_meo
xizhimenbei_aq,hadian_meo
yanqin_aq,yanqing_meo
yizhuang_aq,beijing_meo
yongdingmennei_aq,beijing_meo
yongledian_aq,tongzhou_meo
yufa_aq,pingchang_meo
yungang_aq,mentougou_meo
zhiwuyuan_aq,shijingshan_meo
